CPI,ISO,Seq,Year,Appeal,Dis No,Origin,Region,Country,End Day,End Year,Latitude,Location,Continent,End Month,Longitude,Start Day,Event Name,Local Time,No Injured,Start Year,Declaration,No Affected,No Homeless,River Basin,Start Month,Total Deaths,Dis Mag Scale,Dis Mag Value,Disaster Type,OFDA Response,Associated Dis,Disaster Group,Entry Criteria,Total Affected,Associated Dis2,Aid Contribution,Disaster Subtype,Disaster Subgroup,Disaster Subsubtype,Total Damages ('000 US$),Insured Damages ('000 US$),Reconstruction Costs ('000 US$)
32.2338932328,IRN,108,1980,,1980-0108-IRN,,Southern Asia,Iran (Islamic Republic of),19.0,1980,34.587,Qom-Saveh area,Asia,12.0,50.652,19.0,,05:46,,1980,,,,,12.0,20.0,Richter,6.0,Earthquake,,,Natural,Kill,,,,Ground movement,Geophysical,,5000.0,,
32.2338932328,IRN,109,1980,,1980-0109-IRN,,Southern Asia,Iran (Islamic Republic of),22.0,1980,34.503,"Qom, Fafresh ",Asia,12.0,50.59,22.0,,17:21,100.0,1980,,,,,12.0,4.0,Richter,5.0,Earthquake,,,Natural,Affect,100.0,,,Ground movement,Geophysical,,1000.0,,
32.2338932328,IRN,264,1980,,1980-0264-IRN,,Southern Asia,Iran (Islamic Republic of),30.0,1980,35.4,Kishan,Asia,11.0,51.26,30.0,,,,1980,,,,,11.0,26.0,Richter,6.0,Earthquake,,,Natural,Kill,,,,Ground movement,Geophysical,,,,
32.2338932328,JPN,92,1980,,1980-0092-JPN,,Eastern Asia,Japan,25.0,1980,35.45,"Tokyo, Kanto region",Asia,9.0,139.964,25.0,,02:54,73.0,1980,,,,,9.0,2.0,Richter,6.0,Earthquake,,,Natural,OFDA,73.0,,,Ground movement,Geophysical,,1000.0,,
32.2338932328,IDN,317,1980,,1980-0317-IDN,,South-Eastern Asia,Indonesia,4.0,1980,,Ternate Isl.,Asia,9.0,,4.0,Gamalama,,,1980,,52235.0,,,9.0,,,,Volcanic activity,,,Natural,Affect,52235.0,,,Ash fall,Geophysical,,,,
32.2338932328,IND,84,1980,,1980-0084-IND,,Southern Asia,India,24.0,1980,32.913,Jammu (Kashmir),Asia,8.0,75.633,24.0,,03:06,40.0,1980,,,,,8.0,13.0,Richter,6.0,Earthquake,,,Natural,Kill,40.0,,,Ground movement,Geophysical,,,,
32.2338932328,IDN,88,1980,,1980-0088-IDN,,South-Eastern Asia,Indonesia,5.0,1980,,Ternate (Moluccas),Asia,9.0,,5.0,,,,1980,,20000.0,,,9.0,,Richter,,Earthquake,,,Natural,Affect,20000.0,,,Ground movement,Geophysical,,,,
32.2338932328,NPL,71,1980,,1980-0071-NPL,,Southern Asia,Nepal,29.0,1980,29.598,"Mahakali, Seti, Karnalin Bheri, Rapti zones",Asia,7.0,81.092,29.0,,20:28,5600.0,1980,,200000.0,35000.0,,7.0,100.0,Richter,7.0,Earthquake,Yes,,Natural,Kill,240600.0,,,Ground movement,Geophysical,,245000.0,,
32.2338932328,PHL,314,1980,,1980-0314-PHL,,South-Eastern Asia,Philippines (the),11.0,1980,,Santa Fe (Vizcaya Province),Asia,11.0,,11.0,,,,1980,,,,,11.0,50.0,,,Mass movement (dry),,,Natural,Kill,,,,Rockfall,Geophysical,,,,
3.2613889832,CPV,9002,1900,No,1900-9002-CPV,,Western Africa,Cabo Verde,,1900,,Countrywide,Africa,,,,,,,1900,No,,,,,11000.0,Km2,,Drought,,Famine,Natural,,,,,Drought,Climatological,,,,
